,0
0,97.36111111111111
1,100.0
2,100.0
3,97.70833333333333
4,0.0
5,32.77777777777778
6,0.0
7,56.80555555555556
8,11.11111111111111
9,12.847222222222221
10,0.0
11,76.66666666666667
12,87.91666666666667
13,0.0
14,100.0
15,35.76388888888889
16,100.0
17,100.0
18,100.0
19,86.73611111111111
20,0.0
21,100.0
22,100.0
23,16.805555555555557
24,96.25
25,100.0
26,99.93055555555556
27,100.0
28,16.944444444444446
29,100.0
30,0.0
31,0.0
32,100.0
33,100.0
34,100.0
35,69.86111111111111
36,0.0
37,7.152777777777778
38,0.0
39,100.0
40,0.0
41,0.0
42,99.65277777777779
43,100.0
44,100.0
45,100.0
46,0.0
47,79.65277777777777
48,99.16666666666667
49,79.86111111111111
50,0.0
51,98.88888888888889
52,100.0
53,99.86111111111111
54,17.22222222222222
55,58.40277777777778
56,90.06944444444444
57,19.09722222222222
58,12.5
59,0.0
60,100.0
61,85.41666666666666
62,73.125
63,25.27777777777778
64,0.0
65,100.0
66,0.0
67,99.93055555555556
68,100.0
69,100.0
70,0.0
71,100.0
72,0.0
73,0.0
74,0.0
75,100.0
76,85.76388888888889
77,67.84722222222223
78,100.0
79,0.0
80,0.0
81,100.0
82,0.0
83,0.4166666666666667
84,92.22222222222223
85,0.0
86,53.541666666666664
87,0.0
88,0.0
89,98.54166666666667
90,51.11111111111111
91,0.0
92,88.81944444444444
93,100.0
94,100.0
95,0.0
96,0.0
97,39.65277777777778
98,40.13888888888889
99,100.0
100,100.0
101,100.0
102,99.09722222222223
103,0.0
104,92.77777777777779
105,0.0
106,100.0
107,100.0
108,100.0
109,19.375
110,100.0
111,100.0
112,87.91666666666667
113,44.513888888888886
114,0.06944444444444445
115,100.0
116,0.4166666666666667
117,100.0
118,0.0
119,100.0
120,3.3333333333333335
121,55.76388888888889
122,100.0
123,100.0
124,0.0
125,0.0
126,100.0
127,41.66666666666667
128,100.0
129,72.91666666666666
130,0.0
131,33.75
132,0.0
133,76.31944444444444
134,0.0
135,100.0
136,100.0
137,64.79166666666667
138,35.0
139,0.0
140,100.0
141,61.111111111111114
142,0.0
143,86.52777777777779
144,0.0
145,0.0
146,100.0
147,83.68055555555556
148,0.0
149,0.0
150,100.0
151,0.0
152,15.347222222222223
153,100.0
154,52.986111111111114
155,82.70833333333333
156,100.0
157,2.430555555555556
158,0.0
159,60.97222222222223
160,69.23611111111111
161,9.305555555555555
162,100.0
163,100.0
164,88.19444444444444
165,0.0
166,97.56944444444444
167,0.0
168,0.0
169,100.0
170,100.0
171,100.0
172,100.0
173,0.0
174,78.125
175,83.95833333333333
176,0.0
177,19.65277777777778
178,100.0
179,0.0
180,100.0
181,0.0
182,100.0
183,0.0
184,21.041666666666668
185,100.0
186,0.0
187,0.0
188,0.0
189,87.43055555555556
190,0.4166666666666667
191,100.0
192,100.0
193,100.0
194,63.19444444444444
195,0.0
196,100.0
197,0.0
198,0.0
199,0.0
200,92.36111111111111
201,88.47222222222221
202,0.0
203,84.02777777777779
204,60.55555555555555
205,83.88888888888889
206,100.0
207,100.0
208,57.986111111111114
209,62.22222222222222
210,0.0
211,0.0
212,85.48611111111111
213,3.75
214,0.0
215,100.0
216,100.0
217,100.0
218,4.861111111111112
219,81.38888888888889
220,91.80555555555556
221,6.041666666666667
222,100.0
223,0.0
224,0.0
225,0.0
226,35.55555555555556
227,75.55555555555556
228,0.0
229,56.18055555555556
230,100.0
231,100.0
232,0.0
233,76.18055555555556
234,100.0
235,100.0
236,0.0
237,58.12500000000001
238,0.0
239,96.25
240,53.95833333333333
241,0.0
242,0.0
243,43.888888888888886
244,0.0
245,100.0
246,0.0
247,0.0
248,100.0
249,89.51388888888889
250,100.0
251,100.0
252,0.0
253,100.0
254,100.0
255,80.0
256,100.0
257,0.0
258,100.0
259,0.0
260,38.88888888888889
261,0.0
262,0.1388888888888889
263,0.0
264,87.36111111111111
265,66.18055555555556
266,100.0
267,98.95833333333334
268,56.31944444444444
269,99.09722222222223
270,98.95833333333334
271,0.0
272,16.805555555555557
273,100.0
274,100.0
275,0.0
276,0.0
277,36.11111111111111
278,100.0
279,21.59722222222222
280,100.0
281,4.722222222222222
282,0.0
283,1.7361111111111112
284,100.0
285,86.59722222222223
286,100.0
287,100.0
288,0.0
289,0.0
290,99.58333333333333
291,19.72222222222222
292,100.0
293,64.30555555555556
294,38.54166666666667
295,100.0
296,12.63888888888889
297,6.527777777777779
298,100.0
299,0.0
300,100.0
301,80.76388888888889
302,94.79166666666666
303,99.30555555555556
304,0.0
305,0.0
306,100.0
307,0.0
308,40.0
309,0.0
310,100.0
311,100.0
312,17.430555555555554
313,100.0
314,0.0
315,100.0
316,2.013888888888889
317,17.98611111111111
318,0.0
319,100.0
320,39.23611111111111
321,0.0
322,5.0
323,84.375
324,0.0
325,0.06944444444444445
326,0.0
327,77.22222222222223
328,0.0
329,99.72222222222223
330,40.416666666666664
331,100.0
332,98.19444444444444
333,87.15277777777779
334,4.444444444444445
335,0.0
336,100.0
337,0.0
338,100.0
339,0.0
340,0.1388888888888889
341,100.0
342,0.0
343,0.0
344,8.055555555555555
345,100.0
346,0.0
347,100.0
348,100.0
349,40.27777777777778
350,0.0
351,2.1527777777777777
352,100.0
353,99.86111111111111
354,95.27777777777777
355,36.94444444444444
356,0.0
357,0.0
358,100.0
359,53.81944444444444
360,100.0
361,100.0
362,0.0
363,0.0
364,70.55555555555556
365,0.0
366,0.0
367,0.0
368,0.0
369,64.58333333333334
370,0.0
371,0.0
372,100.0
373,100.0
374,100.0
375,14.86111111111111
376,50.416666666666664
377,4.861111111111112
378,100.0
379,0.0
380,0.0
381,100.0
382,4.722222222222222
383,0.0
384,100.0
385,51.66666666666667
386,100.0
387,43.75
388,100.0
389,0.0
390,100.0
391,99.44444444444444
392,100.0
393,36.11111111111111
394,3.194444444444444
395,100.0
396,0.0
397,0.0
398,100.0
399,15.347222222222223
400,100.0
401,100.0
402,99.58333333333333
403,0.2777777777777778
404,2.7777777777777777
405,100.0
406,100.0
407,0.0
408,92.56944444444444
409,1.0416666666666665
410,0.0
411,0.0
412,15.138888888888888
413,61.80555555555556
414,12.986111111111112
415,48.541666666666664
416,99.02777777777779
417,0.0
418,6.388888888888888
419,0.0
420,0.0
421,100.0
422,0.0
423,100.0
424,100.0
425,0.0
426,100.0
427,0.0
428,0.0
429,99.93055555555556
430,100.0
431,6.527777777777779
432,100.0
433,100.0
434,0.0
435,0.0
436,0.0
437,0.0
438,24.02777777777778
439,0.0
440,100.0
441,69.65277777777777
442,0.0
443,100.0
444,0.0
445,46.041666666666664
446,0.0
447,0.0
448,100.0
449,100.0
